,image_id,strip_id,sensor_id,date,time,cloud_percent,item_type,image_geom,image_coords,image_area,aoi_coverage
154,20210109_153704_17_106e,4056660,PS2.SD,1/9/2021,15:37:04,0,PSScene,"[[[-78.98313745527757, 34.84984390645879], [-78.94471357929241, 34.69957889281887], [-78.67142436479747, 34.746747783884054], [-78.70943552625452, 34.89727223429987], [-78.98313745527757, 34.84984390645879]]]","[[-78.98313745527757, 34.84984390645879], [-78.94471357929241, 34.69957889281887], [-78.67142436479747, 34.746747783884054], [-78.70943552625452, 34.89727223429987], [-78.98313745527757, 34.84984390645879]]","POLYGON ((-78.98313745527757 34.84984390645879, -78.94471357929241 34.69957889281887, -78.67142436479747 34.746747783884054, -78.70943552625452 34.89727223429987, -78.98313745527757 34.84984390645879))",100
155,20210107_160531_70_240c,4051265,PSB.SD,1/7/2021,16:05:31,0,PSScene,"[[[-78.93079337182357, 34.85543938112207], [-78.97944205841239, 34.66997634350891], [-78.60221827492069, 34.60150566427562], [-78.55244222512434, 34.78766148817307], [-78.93079337182357, 34.85543938112207]]]","[[-78.93079337182357, 34.85543938112207], [-78.97944205841239, 34.66997634350891], [-78.60221827492069, 34.60150566427562], [-78.55244222512434, 34.78766148817307], [-78.93079337182357, 34.85543938112207]]","POLYGON ((-78.93079337182357 34.85543938112207, -78.97944205841239 34.66997634350891, -78.60221827492069 34.60150566427562, -78.55244222512434 34.78766148817307, -78.93079337182357 34.85543938112207))",98.8678342
156,20210107_160529_42_240c,4051265,PSB.SD,1/7/2021,16:05:29,0,PSScene,"[[[-78.89314703812519, 34.99776995021131], [-78.94201446529537, 34.81235498237597], [-78.56402055219449, 34.74384083655597], [-78.51426580690242, 34.92996578449975], [-78.89314703812519, 34.99776995021131]]]","[[-78.89314703812519, 34.99776995021131], [-78.94201446529537, 34.81235498237597], [-78.56402055219449, 34.74384083655597], [-78.51426580690242, 34.92996578449975], [-78.89314703812519, 34.99776995021131]]","POLYGON ((-78.89314703812519 34.99776995021131, -78.94201446529537 34.81235498237597, -78.56402055219449 34.74384083655597, -78.51426580690242 34.92996578449975, -78.89314703812519 34.99776995021131))",100
157,20210107_160203_07_240f,4051529,PSB.SD,1/7/2021,16:02:03,0,PSScene,"[[[-78.86215731083028, 34.93715858951248], [-78.91185839672829, 34.7430965982754], [-78.51859551429202, 34.6745572884513], [-78.46842019117032, 34.86753262118575], [-78.86215731083028, 34.93715858951248]]]","[[-78.86215731083028, 34.93715858951248], [-78.91185839672829, 34.7430965982754], [-78.51859551429202, 34.6745572884513], [-78.46842019117032, 34.86753262118575], [-78.86215731083028, 34.93715858951248]]","POLYGON ((-78.86215731083028 34.93715858951248, -78.91185839672829 34.7430965982754, -78.51859551429202 34.6745572884513, -78.46842019117032 34.86753262118575, -78.86215731083028 34.93715858951248))",100
158,20210106_160433_98_2412,4048443,PSB.SD,1/6/2021,16:04:33,0,PSScene,"[[[-78.89796903338724, 34.99268282251974], [-78.94778725989441, 34.80078530546453], [-78.55910189982431, 34.73139351030666], [-78.50803272994855, 34.922874722189604], [-78.89796903338724, 34.99268282251974]]]","[[-78.89796903338724, 34.99268282251974], [-78.94778725989441, 34.80078530546453], [-78.55910189982431, 34.73139351030666], [-78.50803272994855, 34.922874722189604], [-78.89796903338724, 34.99268282251974]]","POLYGON ((-78.89796903338724 34.99268282251974, -78.94778725989441 34.80078530546453, -78.55910189982431 34.73139351030666, -78.50803272994855 34.922874722189604, -78.89796903338724 34.99268282251974))",100
159,20210106_160637_37_2414,4048447,PSB.SD,1/6/2021,16:06:37,0,PSScene,"[[[-79.07923823720743, 34.93922281813618], [-79.12816317676831, 34.75342016741594], [-78.74922190675989, 34.684399385632865], [-78.69877863824215, 34.87095397991341], [-79.07923823720743, 34.93922281813618]]]","[[-79.07923823720743, 34.93922281813618], [-79.12816317676831, 34.75342016741594], [-78.74922190675989, 34.684399385632865], [-78.69877863824215, 34.87095397991341], [-79.07923823720743, 34.93922281813618]]","POLYGON ((-79.07923823720743 34.93922281813618, -79.12816317676831 34.75342016741594, -78.74922190675989 34.684399385632865, -78.69877863824215 34.87095397991341, -79.07923823720743 34.93922281813618))",100
0,20211231_150929_01_2436,5244690,PSB.SD,12/31/2021,15:09:29,1,PSScene,"[[[-79.10448091897831, 35.029309943097054], [-79.15393178053999, 34.84269465019957], [-78.77265264440264, 34.773011919717234], [-78.72184315841335, 34.96068111765401], [-79.10448091897831, 35.029309943097054]]]","[[-79.10448091897831, 35.029309943097054], [-79.15393178053999, 34.84269465019957], [-78.77265264440264, 34.773011919717234], [-78.72184315841335, 34.96068111765401], [-79.10448091897831, 35.029309943097054]]","POLYGON ((-79.10448091897831 35.029309943097054, -79.15393178053999 34.84269465019957, -78.77265264440264 34.773011919717234, -78.72184315841335 34.96068111765401, -79.10448091897831 35.029309943097054))",100
1,20211229_150325_46_2455,5238420,PSB.SD,12/29/2021,15:03:25,0,PSScene,"[[[-78.92314449211099, 34.866975656241195], [-78.97134416007171, 34.677678563159574], [-78.58745135102323, 34.6113024004102], [-78.5387681097202, 34.79907021866434], [-78.92314449211099, 34.866975656241195]]]","[[-78.92314449211099, 34.866975656241195], [-78.97134416007171, 34.677678563159574], [-78.58745135102323, 34.6113024004102], [-78.5387681097202, 34.79907021866434], [-78.92314449211099, 34.866975656241195]]","POLYGON ((-78.92314449211099 34.866975656241195, -78.97134416007171 34.677678563159574, -78.58745135102323 34.6113024004102, -78.5387681097202 34.79907021866434, -78.92314449211099 34.866975656241195))",100
2,20211229_153339_1039,5238682,PS2,12/29/2021,15:33:39,3,PSScene,"[[[-79.0369177289505, 34.8868672709673], [-79.05494640901333, 34.816075060104374], [-78.78777259843487, 34.77009531854998], [-78.77009310828068, 34.84082404904149], [-79.0369177289505, 34.8868672709673]]]","[[-79.0369177289505, 34.8868672709673], [-79.05494640901333, 34.816075060104374], [-78.78777259843487, 34.77009531854998], [-78.77009310828068, 34.84082404904149], [-79.0369177289505, 34.8868672709673]]","POLYGON ((-79.0369177289505 34.8868672709673, -79.05494640901333 34.816075060104374, -78.78777259843487 34.77009531854998, -78.77009310828068 34.84082404904149, -79.0369177289505 34.8868672709673))",100
3,20211226_153257_1035,5229213,PS2,12/26/2021,15:32:57,0,PSScene,"[[[-79.00000749536446, 34.918913649239414], [-79.01764464764729, 34.8481809602065], [-78.75003765766584, 34.80326976593901], [-78.73278817138004, 34.87370706168524], [-79.00000749536446, 34.918913649239414]]]","[[-79.00000749536446, 34.918913649239414], [-79.01764464764729, 34.8481809602065], [-78.75003765766584, 34.80326976593901], [-78.73278817138004, 34.87370706168524], [-79.00000749536446, 34.918913649239414]]","POLYGON ((-79.00000749536446 34.918913649239414, -79.01764464764729 34.8481809602065, -78.75003765766584 34.80326976593901, -78.73278817138004 34.87370706168524, -79.00000749536446 34.918913649239414))",100
